"material","value","passage"
"Al0.5CoCrCuFeNi high entropy alloys",1284,"Fatigue behavior of Al0.5CoCrCuFeNi high entropy alloys. The results are shown in Fig. 1 . The specimens exhibited a high yield stress of 1284MPa and a UTS of, generally, 1344MPa, exceeding that of conventional alloys, such as steels, titanium, aluminum, and nickel alloys [19–22]."
"Al0.5CoCrCuFeNi high entropy alloys",1284,"Fatigue behavior of Al0.5CoCrCuFeNi high entropy alloys. The results display the typical fatigue behavior for crystalline materials of an increase in the number of cycles to failure as the stress level decreases. At a maximum stress of 1250MPa, near the yield stress of 1284MPa, most failures were within an order of magnitude of 35,000–450,000cycles, although there was still a wide range of scatter."
"Ni2.0 alloy",700,"Directly cast bulk eutectic and near-eutectic high entropy alloys with balanced strength and ductility in a wide temperature range. Still, a quite good combination of strength and ductility is maintained at -70 °C, from hypoeutectic to eutectic to hypereutectic alloys. At even lower temperature of -196 °C, the yield strength continues to increase, to ∼700 MPa for all three alloys, while the ductility decreases sharply, to 4% for hypoeutectic Ni2.0 alloy which contains more hard/brittle B2 phase, and to 7% and 9% for eutectic and hypereutectic alloys."
"Ni2.1",595,"Directly cast bulk eutectic and near-eutectic high entropy alloys with balanced strength and ductility in a wide temperature range. The engineering stress-stain curves for Ni2.0, Ni2.1 and Ni2.2 alloys at cryogenic temperatures are shown in Fig. 3(b and c). At -70 °C, the yield stress, fracture stress and elongation of Ni2.0, Ni2.1 and Ni2.2 alloys are 580 MPa/1034 MPa/10.5%, 595 MPa/1168 MPa/15.8%, 570 MPa/1143 MPa/18.0%, respectively."
"Ni2.0",580,"Directly cast bulk eutectic and near-eutectic high entropy alloys with balanced strength and ductility in a wide temperature range. The engineering stress-stain curves for Ni2.0, Ni2.1 and Ni2.2 alloys at cryogenic temperatures are shown in Fig. 3(b and c). At -70 °C, the yield stress, fracture stress and elongation of Ni2.0, Ni2.1 and Ni2.2 alloys are 580 MPa/1034 MPa/10.5%, 595 MPa/1168 MPa/15.8%, 570 MPa/1143 MPa/18.0%, respectively."
"Ni2.2",570,"Directly cast bulk eutectic and near-eutectic high entropy alloys with balanced strength and ductility in a wide temperature range. The engineering stress-stain curves for Ni2.0, Ni2.1 and Ni2.2 alloys at cryogenic temperatures are shown in Fig. 3(b and c). At -70 °C, the yield stress, fracture stress and elongation of Ni2.0, Ni2.1 and Ni2.2 alloys are 580 MPa/1034 MPa/10.5%, 595 MPa/1168 MPa/15.8%, 570 MPa/1143 MPa/18.0%, respectively."
"Ni2.0",545,"Directly cast bulk eutectic and near-eutectic high entropy alloys with balanced strength and ductility in a wide temperature range. The hypoeutectic Ni2.0 and hypereutectic Ni2.2 alloys exhibit a combination of both high strength and high ductility, close to that of the Ni2.1 EHEA. Specifically, from the RT engineering stress-strain curves given in Fig. 3 (a), the yield and fracture stresses of Ni2.0, Ni2.1 and Ni2.2 alloys are almost the same, which are ∼ 545 MPa and ∼1100 MPa, respectively."
"Ni2.1",545,"Directly cast bulk eutectic and near-eutectic high entropy alloys with balanced strength and ductility in a wide temperature range. The hypoeutectic Ni2.0 and hypereutectic Ni2.2 alloys exhibit a combination of both high strength and high ductility, close to that of the Ni2.1 EHEA. Specifically, from the RT engineering stress-strain curves given in Fig. 3 (a), the yield and fracture stresses of Ni2.0, Ni2.1 and Ni2.2 alloys are almost the same, which are ∼ 545 MPa and ∼1100 MPa, respectively."
"Ni2.2",545,"Directly cast bulk eutectic and near-eutectic high entropy alloys with balanced strength and ductility in a wide temperature range. The hypoeutectic Ni2.0 and hypereutectic Ni2.2 alloys exhibit a combination of both high strength and high ductility, close to that of the Ni2.1 EHEA. Specifically, from the RT engineering stress-strain curves given in Fig. 3 (a), the yield and fracture stresses of Ni2.0, Ni2.1 and Ni2.2 alloys are almost the same, which are ∼ 545 MPa and ∼1100 MPa, respectively."
"Co25Ni25Fe25Al7.5Cu17.5",1795,"The effect of carbon on the microstructures, mechanical properties, and deformation mechanisms of thermo-mechanically treated Fe40.4Ni11.3Mn34.8Al7.5Cr6 high entropy alloys. In order to develop successful engineering alloys, various strengthening mechanisms, such as grain boundary and precipitation strengthening, have been introduced to improve the strength of f.c.c.-structured HEAs. For example, a significant increase in yield strength (from ∼ 170 MPa to ∼ 360 MPa) was observed in a f.c.c. CoCrFeMnNi HEA when the grain size was decreased from 155 μm to 4.4 μm [5], and Fu et al. [6] have produced the highest yield strength (1795 MPa) for a HEA, thus far, in nanocrystalline f.c.c. Co25Ni25Fe25Al7.5Cu17.5 with a grain size of 95 nm."
"(CoCrFeNi) HEA",816,"The effect of carbon on the microstructures, mechanical properties, and deformation mechanisms of thermo-mechanically treated Fe40.4Ni11.3Mn34.8Al7.5Cr6 high entropy alloys. For example, a fine dispersion of coherent L12 Ni3(Ti, Al)-type nano-precipitates was introduced in a f.c.c. (FeCoNiCr)94Ti2Al4 HEA by thermo-mechanical treatment, producing a high yield strength (645 MPa) and good ductility (39% elongation) [8]. Liu et al. [9] introduced brittle σ and μ intermetallic phases into a f.c.c. (CoCrFeNi) HEA through the addition of Mo, and achieved a high yield strength of 816 MPa."
